Site,R50,LR50,BR50,TestesWeight,WingLength
Davis,39.62036353,427.04,1.908893181,0.244,2.2
Davis,43.62682629,426.32,2.181375232,0.146,2.352
Davis,35.88417895,427.39,1.659451891,0.314,2.417
Davis,37.56685425,426.32,1.901168112,0.152,2.318
Davis,43.35654956,425.25,2.09007433,0.081,2.151
Davis,34.30736818,425.25,1.800921672,0.087,2.208
Davis,39.21458288,428.11,2.020267818,0.115,2.158
Davis,42.534455,427.39,2.260758622,0.243,2.385
Davis,39.92145817,423.46,2.137639319,0.136,2.32
Davis,41.06714673,424.54,2.074339966,0.142,2.221
Davis,40.32259382,424.18,2.226277245,0.159,2.337
Davis,41.96985707,423.82,2.061384975,0.147,2.142
Davis,45.86385523,426.32,2.211233433,0.097,2.353
Davis,43.19696303,426.68,2.193872008,0.328,2.422
Davis,42.41188811,427.75,2.003458078,0.118,NA
Davis,49.00970488,427.75,2.421195228,0.227,2.497
Davis,44.21354853,427.04,2.168309866,0.339,2.319
Davis,37.75032413,429.54,1.893440355,0.24,2.568
Davis,45.032596,427.75,2.339355253,0.221,2.476
Davis,51.84372673,428.82,2.506535674,0.239,2.373
Davis,50.48382263,428.47,2.399266661,0.377,2.368
Davis,41.71189014,429.54,2.199623196,0.15,NA
Davis,43.2265158,429.89,2.103345735,0.178,2.224
Davis,44.76914048,426.32,2.057979261,0.164,2.319
Davis,44.83292416,429.18,2.304872703,0.234,2.315
Davis,44.15463341,429.89,2.27296216,0.215,2.252
Davis,38.53953081,428.82,1.828984876,0.311,2.304
Davis,36.46029008,424.18,1.970966948,0.083,2.28
Davis,37.71291268,427.39,1.873508596,NA,2.505
Davis,48.19622262,428.11,2.365855409,0.24,2.329
Davis,46.241157,429.89,2.3388266,0.43,2.652
Davis,37.72243827,427.39,1.999367999,0.32,2.661
Davis,24.49589594,422.03,1.272195774,0.109,2.257
Davis,30.00091578,423.46,1.610787202,0.295,2.492
Davis,27.60233721,423.82,1.587628088,0.096,2.511
Davis,40.00671436,427.04,2.119133008,0.182,2.411
Davis,40.00671436,427.04,2.119133008,0.182,2.686
Davis,42.92184319,428.11,2.19942337,0.127,2.551
Davis,36.14924722,425.97,1.94224075,0.273,2.651
Davis,44.24899515,429.54,2.324585735,0.264,2.405
Davis,51.34196755,429.18,2.603015079,0.176,2.687
Davis,46.95021546,428.11,2.431417504,0.309,2.285
Davis,50.77532599,427.75,2.554630033,0.166,2.336
Davis,44.85972018,427.75,2.196521673,0.21,2.436
Davis,41.37656016,428.11,2.13359887,0.233,2.569
Davis,44.87998577,428.47,2.187798256,0.188,2.465
Davis,39.47962021,429.89,2.072327227,0.213,2.386
Davis,27.76283707,423.46,1.596548083,0.106,2.302
Davis,39.25753097,428.47,2.107972512,0.206,2.332
Davis,35.81499657,428.11,1.840561838,0.435,2.782
Davis,42.84204101,429.54,2.321104323,0.296,2.651
Davis,39.99768389,427.39,2.102489811,0.186,2.2
Davis,32.26940321,422.75,1.73121692,0.063,NA
Davis,41.24736185,427.75,1.963777756,0.213,2.792
Davis,33.78973407,427.04,1.80522586,0.322,2.496
Davis,25.72732758,424.18,1.371281054,0.301,2.798
Davis,44.57189789,428.11,2.260471067,0.187,2.348
Davis,41.38962058,424.89,2.013900716,0.424,2.678
Davis,51.24096101,429.54,2.594237981,0.346,2.607
