Site,SpermCount
Davis,3
Davis,1
Davis,1
Davis,1
Davis,2
Davis,1
Davis,1
Davis,1
Davis,2
Davis,1
Davis,1
Davis,2
Davis,1
Davis,2
Davis,1
Davis,1
Davis,2
Davis,1
Davis,1
Davis,3
Davis,3
Davis,2
Davis,2
Davis,2
Davis,1
Davis,2
Sutter,1
Sutter,1
Sutter,1
Sutter,1
Sutter,1
Sutter,3
Sutter,2
Sutter,1
Sutter,1
Sutter,1
Sutter,1
Sutter,2
Sutter,1
Sutter,2
Sutter,2
Sutter,1
Sutter,2
Sutter,1
Sutter,3
Sutter,2
Sutter,2
Sutter,3
Sutter,1
Sutter,1
Sutter,2
Sutter,2
Sutter,1
Sutter,1
Sutter,1
Sutter,1
Sutter,1
Sutter,1
Sutter,1
Sutter,2
Sutter,1
Sutter,1
Sutter,1
Sutter,1
Sutter,1
Sutter,1
Sutter,1
Sutter,3
Sutter,2
UNR,1
UNR,1
UNR,2
UNR,1
UNR,2
UNR,2
UNR,1
UNR,1
UNR,1
UNR,1
UNR,1
UNR,1
UNR,1
UNR,2
UNR,2
UNR,1
UNR,1
UNR,1
UNR,1
UNR,2
UNR,2
UNR,0
UNR,3
UNR,1
UNR,1
UNR,1
Washoe,1
Washoe,1
Washoe,1
Washoe,3
Washoe,2
Washoe,1
Washoe,1
Washoe,1
Washoe,1
Washoe,3
Washoe,1
Washoe,2
Washoe,2
Washoe,1
Washoe,1
Washoe,2
Washoe,2
Washoe,1
Washoe,1
Washoe,1
Washoe,1
Washoe,1
Washoe,2
Washoe,1
Washoe,1
Washoe,1
Washoe,1
Washoe,2
Washoe,1
